-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  22.28   longitude 114.16 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2025,8,12,6.1798,7.2588
2025,8,13,6.6619,7.309
2025,8,14,0.6139,6.949
2025,8,15,4.7592,7.2862
2025,8,16,6.6874,7.3258
2025,8,17,3.4735,7.0654
2025,8,18,1.8797,6.9881
2025,8,19,0.8767,6.9456
2025,8,20,4.1203,7.1434
2025,8,21,5.1269,6.9986
2025,8,22,6.5066,7.1935
2025,8,23,6.6122,7.1666
2025,8,24,5.6033,7.182
2025,8,25,5.1917,7.2216
2025,8,26,6.7406,7.1182
2025,8,27,6.3031,7.0382
2025,8,28,3.7872,7.0286
2025,8,29,6.8242,7.1518
2025,8,30,5.803,7.0447
2025,8,31,6.095,7.0918
2025,9,1,6.4426,7.0735
2025,9,2,6.2556,6.9005
2025,9,3,6.2086,6.948
2025,9,4,6.4445,7.0159
2025,9,5,6.3161,7.0082
2025,9,6,6.2966,6.8465
2025,9,7,4.0855,6.7298
2025,9,8,2.597,6.5364
2025,9,9,3.2621,6.6828
2025,9,10,5.7446,6.8676
2025,9,11,6.3631,6.9367
2025,9,12,6.3552,6.9187
2025,9,13,6.6535,6.9163
2025,9,14,6.8119,7.0003
2025,9,15,5.6299,6.6977
2025,9,16,5.9167,6.7507
2025,9,17,5.1696,6.6302
2025,9,18,5.1612,6.4766
2025,9,19,0.8069,6.168
2025,9,20,1.6783,6.0696
2025,9,21,3.1164,6.4795
2025,9,22,5.7365,6.6725
2025,9,23,3.3134,6.1414
2025,9,24,0.7169,6.1392
2025,9,25,3.3132,6.2719
2025,9,26,5.6155,6.4282
2025,9,27,5.6587,6.4174
2025,9,28,4.183,6.361
2025,9,29,5.7295,6.4685
2025,9,30,5.4526,6.3305
2025,10,1,5.8783,6.335
2025,10,2,5.7924,6.3422
2025,10,3,6.1882,6.354
2025,10,4,4.8931,5.9772
2025,10,5,4.0183,6.0466
2025,10,6,5.4103,6.2518
2025,10,7,5.9213,6.1973
2025,10,8,5.3242,6.0636
2025,10,9,5.4444,5.9592
2025,10,10,5.1038,5.9143
2025,10,11,5.3942,5.717
2025,10,12,3.8141,5.8769
2025,10,13,4.831,5.8783
2025,10,14,5.4038,5.9362
2025,10,15,5.4274,5.7074
2025,10,16,4.914,5.5646
2025,10,17,5.5862,5.8234
2025,10,18,5.3556,5.5944
2025,10,19,4.8816,5.6573
2025,10,20,2.8627,4.9421
2025,10,21,1.9164,4.8516
2025,10,22,1.4626,4.7635
2025,10,23,3.0696,4.8811
2025,10,24,2.7612,4.8449
2025,10,25,4.3402,5.1017
2025,10,26,4.1918,5.2553
2025,10,27,2.4022,4.8931
2025,10,28,1.439,4.4143
2025,10,29,2.8716,4.7052
2025,10,30,3.6662,5.1946
2025,10,31,3.997,5.1038
2025,11,1,2.6748,5.0482
2025,11,2,4.2149,5.0558
2025,11,3,1.872,3.7954
2025,11,4,1.2938,4.2396
2025,11,5,4.434,5.0669
2025,11,6,4.1791,4.8763
2025,11,7,2.4703,4.95
2025,11,8,4.7225,5.0616
2025,11,9,3.6058,4.7887
2025,11,10,3.8177,4.9135
2025,11,11,1.3214,4.5451
2025,11,12,3.2414,4.9627
2025,11,13,2.9081,4.9039
2025,11,14,4.3032,4.6438
2025,11,15,4.2763,4.6682
2025,11,16,4.8142,4.908
2025,11,17,4.6896,4.8888
2025,11,18,2.6813,4.1774
2025,11,19,2.3863,4.4914
2025,11,20,2.3165,4.6008
2025,11,21,4.2461,4.7234
2025,11,22,4.8259,4.8598
2025,11,23,4.3891,4.5053
2025,11,24,4.0601,4.6925
2025,11,25,4.6855,4.7813
2025,11,26,4.2986,4.4436
2025,11,27,3.8827,5.0074
2025,11,28,4.0253,4.3596
2025,11,29,4.1141,4.2346
2025,11,30,2.3054,4.5125
2025,12,1,2.9275,4.5914
2025,12,2,3.3521,4.5554
2025,12,3,2.489,4.2545
2025,12,4,3.066,3.9845
2025,12,5,4.1412,4.2168
2025,12,6,4.2264,4.3282
2025,12,7,3.2486,4.2612
2025,12,8,4.4635,4.4945
2025,12,9,4.554,4.619
2025,12,10,1.7818,4.147
2025,12,11,3.7418,4.3303
2025,12,12,3.906,4.2713
2025,12,13,1.771,3.8928
2025,12,14,2.7175,4.1594
2025,12,15,4.1885,4.2648
2025,12,16,4.3507,4.4246
2025,12,17,4.3956,4.4717
2025,12,18,3.3958,4.14
2025,12,19,2.9278,3.8189
2025,12,20,3.209,4.3824
2025,12,21,3.9427,4.139
2025,12,22,3.1886,4.2852
2025,12,23,1.771,4.1666
2025,12,24,2.7924,4.4309
2025,12,25,2.3849,3.9485
2025,12,26,1.1995,3.6307
2025,12,27,4.2506,4.3769
2025,12,28,3.9665,4.2672
2025,12,29,4.0913,4.3406
2025,12,30,4.1642,4.4213
2025,12,31,3.1982,4.1424
